Team1,Team2,Winner,RealOdds,LoungeOdds,Difference,Risk,BetSize,EVTeam,Win
NiP,Titan,Titan,0.5,0.61,-0.11,HIGH RISK,LOW BET,Titan,WIN
SK,NaVi,NaVi,0.4,0.14,0.26,MEDIUM RISK,AVG BET,SK,LOSS
VP,SK,VP,0.6,0.75,-0.15,LOW RISK,LOW BET,SK,LOSS
VP,TSM,TSM,0.5,0.44,0.06,HIGH RISK,LOW BET,VP,LOSS
TSM,EnVyUs,TSM,0.5,0.46,0.04,HIGH RISK,LOW BET,TSM,WIN
Cloud9,CLG,CLG,0.55,0.58,-0.03,HIGH RISK,LOW BET,CLG,WIN
CLG,Liquid,Liquid,0.45,0.39,0.06,HIGH RISK,LOW BET,CLG,LOSS
HR,Titan,HR,0.45,0.37,0.08,HIGH RISK,LOW BET,HR,WIN
CSGL,TSM,null,0.4,0.06,0.34,LOW RISK,HIGH BET,CSGL,TIE
HR,Penta,Penta,0.55,0.73,-0.18,HIGH RISK,LOW BET,Penta,WIN
NaVi,HR,NaVi,0.6,0.74,-0.14,HIGH RISK,ICB BET,HR,LOSS
mouz,NaVi,mouz,0.45,0.3,0.15,HIGH RISK,LOW BET,mouz,WIN
Penta,Fnatic,Fnatic,0.35,0.13,0.22,MEDIUM RISK,AVG BET,Penta,LOSS
mouz,EnVyUs,EnVyUs,0.5,0.34,0.16,HIGH RISK,LOW BET,mouz,LOSS
mouz,EnVyUs,EnVyUs,0.5,0.34,0.16,HIGH RISK,LOW BET,mouz,LOSS
Fnatic,Vexed,Fnatic,0.7,0.92,-0.22,MEDIUM RISK,LOW BET,Vexed,LOSS
LG,Cloud9,LG,0.5,0.4,0.1,HIGH RISK,LOW BET,LG,WIN
FSid3,TSM,TSM,0.4,0.09,0.31,MEDIUM RISK,AVG BET,FSid3,LOSS
G2,mouz,G2,0.5,0.58,-0.08,HIGH RISK,LOW BET,mouz,LOSS
VP,Liquid,VP,0.55,0.77,-0.22,HIGH RISK,ICB BET,Liquid,LOSS
NiP,Titan,Titan,0.55,0.61,-0.06,HIGH RISK,LOW BET,Titan,WIN
EnVyUs,Dignitas,EnVyUs,0.6,0.89,-0.29,HIGH RISK,LOW BET,Dignitas,LOSS
NaVi,CLG,NaVi,0.6,0.79,-0.19,HIGH RISK,LOW BET,CLG,LOSS
CSGL,HR,null,0.45,0.29,0.16,HIGH RISK,LOW BET,CSGL,TIE
Vexed,Cloud9,Cloud9,0.45,0.29,0.16,HIGH RISK,LOW BET,Vexed,LOSS
Vexed,Cloud9,Cloud9,0.45,0.29,0.16,HIGH RISK,LOW BET,Vexed,LOSS
Fnatic,LG,LG,0.55,0.84,-0.29,HIGH RISK,LOW BET,LG,WIN
G2,TSM,TSM,0.4,0.17,0.23,HIGH RISK,ICB BET,G2,LOSS
Liquid,NiP,NiP,0.5,0.33,0.17,HIGH RISK,LOW BET,Liquid,LOSS
VP,Titan,VP,0.5,0.62,-0.12,HIGH RISK,LOW BET,Titan,LOSS
EnVyUs,NaVi,EnVyUs,0.55,0.7,-0.15,HIGH RISK,LOW BET,NaVi,LOSS
FSid3,mouz,mouz,0.45,0.31,0.14,HIGH RISK,LOW BET,FSid3,LOSS
Dignitas,CLG,CLG,0.55,0.52,0.03,HIGH RISK,LOW BET,CLG,WIN
coL,Conquest,Conquest,0.4,0.28,0.12,MEDIUM RISK,AVG BET,coL,LOSS
Cloud9,Fnatic,Fnatic,0.4,0.14,0.26,HIGH RISK,ICB BET,Cloud9,LOSS
Cloud9,Fnatic,Fnatic,0.4,0.14,0.26,HIGH RISK,ICB BET,Cloud9,LOSS
mouz,G2,G2,0.5,0.3,0.2,HIGH RISK,LOW BET,mouz,LOSS
NiP,Titan,NiP,0.5,0.63,-0.13,HIGH RISK,LOW BET,Titan,LOSS
CLG,NaVi,NaVi,0.45,0.13,0.32,HIGH RISK,ICB BET,CLG,LOSS
EnVyUs,Fnatic,EnVyUs,0.55,0.64,-0.09,HIGH RISK,LOW BET,Fnatic,LOSS
G2,VP,G2,0.4,0.14,0.26,MEDIUM RISK,AVG BET,G2,WIN
TSM,NiP,NiP,0.55,0.76,-0.21,HIGH RISK,LOW BET,NiP,WIN
LG,NaVi,NaVi,0.45,0.39,0.06,HIGH RISK,LOW BET,LG,LOSS
LG,NaVi,NaVi,0.45,0.39,0.06,HIGH RISK,LOW BET,LG,LOSS
LG,NaVi,NaVi,0.45,0.39,0.06,HIGH RISK,LOW BET,LG,LOSS
EnVyUs,G2,EnVyUs,0.6,0.86,-0.26,HIGH RISK,LOW BET,G2,LOSS
EnVyUs,NaVi,EnVyUs,0.55,0.64,-0.09,HIGH RISK,LOW BET,NaVi,LOSS
mouz,Vexed,null,0.6,0.8,-0.2,MEDIUM RISK,AVG BET,Vexed,TIE
HR,TSM,TSM,0.45,0.2,0.25,HIGH RISK,LOW BET,HR,LOSS
TSM,HR,TSM,0.55,0.65,-0.1,HIGH RISK,LOW BET,HR,LOSS
Dignitas,NiP,NiP,0.4,0.35,0.05,HIGH RISK,AVG BET,Dignitas,LOSS
SK,TSM,TSM,0.3,0.16,0.14,MEDIUM RISK,AVG BET,SK,LOSS
SK,TSM,TSM,0.3,0.16,0.14,MEDIUM RISK,AVG BET,SK,LOSS
NiP,EnVyUs,NiP,0.5,0.32,0.18,HIGH RISK,LOW BET,NiP,WIN
Penta,mouz,mouz,0.4,0.4,0,MEDIUM RISK,AVG BET,Penta,LOSS
WinterFox,coL,coL,0.45,0.43,0.02,HIGH RISK,LOW BET,WinterFox,LOSS
coL,WinterFox,coL,0.55,0.65,-0.1,HIGH RISK,LOW BET,WinterFox,LOSS
Cloud9,coL,coL,0.6,0.71,-0.11,MEDIUM RISK,AVG BET,coL,WIN
CLG,Liquid,CLG,0.45,0.36,0.09,HIGH RISK,LOW BET,CLG,WIN
HR,EnVyUs,EnVyUs,0.45,0.21,0.24,HIGH RISK,LOW BET,HR,LOSS
NiP,HR,HR,0.55,0.68,-0.13,HIGH RISK,LOW BET,HR,WIN
Penta,NiP,NiP,0.3,0.25,0.05,MEDIUM RISK,AVG BET,Penta,LOSS
Titan,LG,LG,0.55,0.56,-0.01,HIGH RISK,LOW BET,LG,WIN
mouz,NaVi,mouz,0.45,0.3,0.15,HIGH RISK,LOW BET,mouz,WIN
Liquid,Dignitas,Dignitas,0.55,0.68,-0.13,HIGH RISK,LOW BET,Dignitas,WIN
VP,Conquest,VP,0.6,0.77,-0.17,HIGH RISK,LOW BET,Conquest,LOSS
Liquid,LG,Liquid,0.45,0.58,-0.13,HIGH RISK,LOW BET,LG,LOSS
Cloud9,WinterFox,Cloud9,0.55,0.76,-0.21,HIGH RISK,ICB BET,WinterFox,LOSS
Cloud9,WinterFox,Cloud9,0.55,0.76,-0.21,HIGH RISK,ICB BET,WinterFox,LOSS
WinterFox,Liquid,Liquid,0.3,0.15,0.15,MEDIUM RISK,AVG BET,WinterFox,LOSS
LG,CLG,LG,0.5,0.48,0.02,HIGH RISK,LOW BET,LG,WIN
Vexed,CSGL,Vexed,0.5,0.34,0.16,HIGH RISK,LOW BET,Vexed,WIN
G2,E-Frag,E-Frag,0.6,0.79,-0.19,MEDIUM RISK,AVG BET,E-Frag,WIN
Penta,EnVyUs,EnVyUs,0.35,0.12,0.23,MEDIUM RISK,AVG BET,Penta,LOSS
CSGL,SK,null,0.5,0.36,0.14,HIGH RISK,LOW BET,CSGL,TIE
CSGL,SK,null,0.5,0.36,0.14,HIGH RISK,LOW BET,CSGL,TIE
Cloud9,CLG,CLG,0.5,0.56,-0.06,HIGH RISK,LOW BET,CLG,WIN
CLG,coL,coL,0.58,0.62,-0.04,HIGH RISK,LOW BET,coL,WIN
LG,mouz,mouz,0.55,0.55,0,HIGH RISK,LOW BET,mouz,WIN
LG,mouz,mouz,0.55,0.55,0,HIGH RISK,LOW BET,mouz,WIN
Titan,NaVi,Titan,0.45,0.36,0.09,HIGH RISK,LOW BET,Titan,WIN
VP,Dignitas,VP,0.58,0.71,-0.13,HIGH RISK,LOW BET,Dignitas,LOSS
Liquid,Conquest,Conquest,0.5,0.61,-0.11,HIGH RISK,LOW BET,Conquest,WIN
Dignitas,Conquest,Conquest,0.5,0.63,-0.13,HIGH RISK,LOW BET,Conquest,WIN
LG,Titan,Titan,0.5,0.49,0.01,HIGH RISK,LOW BET,LG,LOSS
VP,Titan,VP,0.55,0.61,-0.06,HIGH RISK,LOW BET,Titan,LOSS
mouz,Conquest,mouz,0.55,0.69,-0.14,HIGH RISK,LOW BET,Conquest,LOSS
VP,mouz,VP,0.55,0.7,-0.15,HIGH RISK,LOW BET,mouz,LOSS
CLG,NME,CLG,0.55,0.82,-0.27,HIGH RISK,ICB BET,NME,LOSS
CLG,NME,CLG,0.55,0.82,-0.27,HIGH RISK,ICB BET,NME,LOSS
EnVyUs,CSGL,EnVyUs,0.65,0.9,-0.25,MEDIUM RISK,AVG BET,CSGL,LOSS
E-Frag,HR,HR,0.45,0.47,-0.02,HIGH RISK,LOW BET,E-Frag,LOSS
HR,EnVyUs,EnVyUs,0.4,0.23,0.17,MEDIUM RISK,ICB BET,HR,LOSS
Penta,mouz,null,0.4,0.32,0.08,HIGH RISK,LOW BET,Penta,TIE
NiP,SK,SK,0.65,0.78,-0.13,MEDIUM RISK,AVG BET,SK,WIN
SK,EnVyUs,EnVyUs,0.35,0.13,0.22,MEDIUM RISK,AVG BET,SK,LOSS
Cloud9,coL,Cloud9,0.55,0.61,-0.06,HIGH RISK,LOW BET,coL,LOSS
FSid3,SK,FSid3,0.55,0.55,0,HIGH RISK,LOW BET,SK,LOSS
LG,CLG,LG,0.5,0.57,-0.07,HIGH RISK,LOW BET,CLG,LOSS
VP,G2,G2,0.55,0.59,-0.04,HIGH RISK,LOW BET,G2,WIN
HR,Titan,Titan,0.5,0.48,0.02,HIGH RISK,LOW BET,HR,LOSS
Penta,Titan,Titan,0.4,0.26,0.14,MEDIUM RISK,AVG BET,Penta,LOSS
NiP,mouz,mouz,0.55,0.55,0,HIGH RISK,LOW BET,mouz,WIN
Titan,VP,VP,0.5,0.37,0.13,HIGH RISK,LOW BET,Titan,LOSS
Titan,VP,VP,0.5,0.37,0.13,HIGH RISK,LOW BET,Titan,LOSS
NaVi,Penta,NaVi,0.6,0.86,-0.26,MEDIUM RISK,AVG BET,Penta,LOSS
Method,LG,LG,0.4,0.1,0.3,MEDIUM RISK,AVG BET,Method,LOSS
CLG,Conquest,Conquest,0.5,0.6,-0.1,HIGH RISK,LOW BET,Conquest,WIN
mouz,Fnatic,mouz,0.45,0.35,0.1,HIGH RISK,LOW BET,mouz,WIN
WinterFox,LG,LG,0.4,0.27,0.13,MEDIUM RISK,AVG BET,WinterFox,LOSS
coL,Liquid,Liquid,0.45,0.27,0.18,HIGH RISK,ICB BET,coL,LOSS
coL,Liquid,Liquid,0.45,0.27,0.18,HIGH RISK,ICB BET,coL,LOSS
Liquid,Cloud9,Liquid,0.5,0.54,-0.04,HIGH RISK,LOW BET,Cloud9,LOSS
VP,mouz,mouz,0.55,0.63,-0.08,HIGH RISK,LOW BET,mouz,WIN
Liquid,Conquest,Liquid,0.55,0.56,-0.01,HIGH RISK,LOW BET,Conquest,LOSS
G2,Penta,G2,0.7,0.92,-0.22,MEDIUM RISK,AVG BET,Penta,LOSS
VP,E-Frag,null,0.6,0.68,-0.08,MEDIUM RISK,AVG BET,E-Frag,TIE
SK,FSid3,SK,0.45,0.44,0.01,HIGH RISK,LOW BET,SK,WIN
SK,FSid3,SK,0.45,0.44,0.01,HIGH RISK,LOW BET,SK,WIN
SK,FSid3,SK,0.45,0.44,0.01,HIGH RISK,LOW BET,SK,WIN
HR,Titan,Titan,0.4,0.31,0.09,HIGH RISK,LOW BET,HR,LOSS
NaVi,Fnatic,Fnatic,0.5,0.45,0.05,HIGH RISK,LOW BET,NaVi,LOSS
Dignitas,VP,Dignitas,0.4,0.28,0.12,HIGH RISK,LOW BET,Dignitas,WIN
Penta,NaVi,Penta,0.4,0.13,0.27,MEDIUM RISK,AVG BET,Penta,WIN
SK,mouz,SK,0.4,0.29,0.11,HIGH RISK,ICB BET,SK,WIN
Dignitas,Fnatic,Fnatic,0.4,0.28,0.12,MEDIUM RISK,AVG BET,Dignitas,LOSS
Liquid,WinterFox,Liquid,0.6,0.78,-0.18,MEDIUM RISK,AVG BET,WinterFox,LOSS
LG,Liquid,LG,0.5,0.43,0.07,HIGH RISK,LOW BET,LG,WIN
coL,LG,LG,0.45,0.28,0.17,HIGH RISK,LOW BET,coL,LOSS
coL,LG,LG,0.45,0.28,0.17,HIGH RISK,LOW BET,coL,LOSS
LG,Cloud9,LG,0.5,0.48,0.02,HIGH RISK,LOW BET,LG,WIN
Liquid,LG,LG,0.5,0.47,0.03,HIGH RISK,LOW BET,Liquid,LOSS
VP,G2,G2,0.5,0.55,-0.05,HIGH RISK,LOW BET,G2,WIN
NiP,VP,NiP,0.42,0.35,0.07,HIGH RISK,LOW BET,NiP,WIN
VP,EnVyUs,VP,0.45,0.39,0.06,HIGH RISK,ICB BET,VP,WIN
Fnatic,NiP,NiP,0.55,0.67,-0.12,HIGH RISK,LOW BET,NiP,WIN
LG,WinterFox,LG,0.65,0.89,-0.24,MEDIUM RISK,AVG BET,WinterFox,LOSS
CLG,Renegades,Renegades,0.55,0.57,-0.02,HIGH RISK,LOW BET,Renegades,WIN
CLG,Renegades,Renegades,0.55,0.57,-0.02,HIGH RISK,LOW BET,Renegades,WIN
LG,Renegades,LG,0.6,0.72,-0.12,HIGH RISK,LOW BET,Renegades,LOSS
Cloud9,Conquest,Cloud9,0.5,0.55,-0.05,HIGH RISK,LOW BET,Conquest,LOSS
Liquid,coL,Liquid,0.6,0.8,-0.2,MEDIUM RISK,AVG BET,coL,LOSS
CLG,Renegades,Renegades,0.55,0.6,-0.05,HIGH RISK,LOW BET,Renegades,WIN
NME,CLG,NME,0.4,0.19,0.21,MEDIUM RISK,AVG BET,NME,WIN
NME,Renegades,Renegades,0.45,0.35,0.1,HIGH RISK,LOW BET,NME,LOSS
Cloud9,coL,Cloud9,0.6,0.77,-0.17,MEDIUM RISK,AVG BET,coL,LOSS
Method,coL,null,0.4,0.39,0.01,MEDIUM RISK,AVG BET,Method,TIE
Liquid,CSGL,Liquid,0.6,0.64,-0.04,MEDIUM RISK,AVG BET,CSGL,LOSS
Liquid,CSGL,Liquid,0.6,0.64,-0.04,MEDIUM RISK,AVG BET,CSGL,LOSS
CSGL,GAcademy,GAcademy,0.6,0.63,-0.03,HIGH RISK,LOW BET,GAcademy,WIN
CSGL,GAcademy,GAcademy,0.6,0.63,-0.03,HIGH RISK,LOW BET,GAcademy,WIN
GAcademy,Liquid,Liquid,0.35,0.25,0.1,MEDIUM RISK,LOW BET,GAcademy,LOSS
GAcademy,Liquid,Liquid,0.35,0.25,0.1,MEDIUM RISK,LOW BET,GAcademy,LOSS
SKDC,CSGL,CSGL,0.3,0.2,0.1,MEDIUM RISK,AVG BET,SKDC,LOSS
Titan,VP,VP,0.55,0.44,0.11,HIGH RISK,LOW BET,Titan,LOSS
HR,Titan,HR,0.45,0.48,-0.03,HIGH RISK,LOW BET,HR,WIN
VP,Fnatic,Fnatic,0.55,0.55,0,HIGH RISK,LOW BET,Fnatic,WIN
G2,VP,G2,0.5,0.55,-0.05,HIGH RISK,LOW BET,VP,LOSS
Cloud9,Liquid,Liquid,0.5,0.58,-0.08,HIGH RISK,LOW BET,Liquid,WIN
Conquest,coL,coL,0.5,0.58,-0.08,HIGH RISK,LOW BET,coL,WIN
Conquest,coL,coL,0.5,0.58,-0.08,HIGH RISK,LOW BET,coL,WIN
Cloud9,coL,Cloud9,0.55,0.66,-0.11,HIGH RISK,LOW BET,coL,LOSS
NiP,VP,VP,0.51,0.44,0.07,HIGH RISK,LOW BET,NiP,LOSS
VP,Titan,VP,0.6,0.77,-0.17,HIGH RISK,LOW BET,Titan,LOSS
CLG,Liquid,Liquid,0.42,0.37,0.05,HIGH RISK,LOW BET,CLG,LOSS
Titan,NiP,NiP,0.4,0.18,0.22,HIGH RISK,LOW BET,Titan,LOSS
HR,VP,VP,0.42,0.32,0.1,HIGH RISK,LOW BET,HR,LOSS
VP,HR,VP,0.55,0.69,-0.14,HIGH RISK,LOW BET,HR,LOSS
LG,Cloud9,Cloud9,0.55,0.66,-0.11,HIGH RISK,LOW BET,Cloud9,WIN
Liquid,Cloud9,Cloud9,0.5,0.44,0.06,HIGH RISK,LOW BET,Liquid,LOSS
mouz,VP,VP,0.5,0.53,-0.03,HIGH RISK,LOW BET,VP,WIN
NaVi,Fnatic,Fnatic,0.43,0.3,0.13,LOW RISK,LOW BET,NaVi,LOSS
NaVi,Fnatic,Fnatic,0.43,0.3,0.13,LOW RISK,LOW BET,NaVi,LOSS
EnVyUs,FSid3,FSid3,0.65,0.95,-0.3,MEDIUM RISK,AVG BET,FSid3,WIN
SK,TSM,null,0.3,0.08,0.22,MEDIUM RISK,AVG BET,SK,TIE
TSM,HR,TSM,0.6,0.86,-0.26,HIGH RISK,AVG BET,HR,LOSS
Dignitas,VP,Dignitas,0.4,0.34,0.06,HIGH RISK,LOW BET,Dignitas,WIN
HR,NaVi,NaVi,0.45,0.34,0.11,HIGH RISK,LOW BET,HR,LOSS
NiP,VP,NiP,0.44,0.43,0.01,HIGH RISK,LOW BET,NiP,WIN
Titan,Dignitas,Titan,0.55,0.54,0.01,HIGH RISK,LOW BET,Dignitas,LOSS
Titan,Dignitas,Titan,0.55,0.54,0.01,HIGH RISK,LOW BET,Dignitas,LOSS
SK,Penta,SK,0.55,0.45,0.1,HIGH RISK,LOW BET,SK,WIN
Fnatic,EnVyUs,Fnatic,0.5,0.51,-0.01,HIGH RISK,LOW BET,EnVyUs,LOSS
mouz,TSM,TSM,0.45,0.32,0.13,HIGH RISK,LOW BET,mouz,LOSS
VP,NaVi,NaVi,0.55,0.43,0.12,HIGH RISK,LOW BET,VP,LOSS
HR,mouz,HR,0.45,0.5,-0.05,MEDIUM RISK,LOW BET,mouz,LOSS
NiP,Titan,NiP,0.55,0.57,-0.02,HIGH RISK,LOW BET,Titan,LOSS
EnVyUs,TSM,EnVyUs,0.5,0.59,-0.09,HIGH RISK,LOW BET,TSM,LOSS
SK,Fnatic,SK,0.3,0.16,0.14,MEDIUM RISK,AVG BET,SK,WIN
Dignitas,Penta,Dignitas,0.55,0.65,-0.1,HIGH RISK,LOW BET,Penta,LOSS
mouz,EnVyUs,EnVyUs,0.42,0.22,0.2,HIGH RISK,LOW BET,mouz,LOSS
WinterFox,LG,LG,0.6,0.1,0.5,MEDIUM RISK,AVG BET,WinterFox,LOSS
Torqued,WinterFox,WinterFox,0.45,0.59,-0.14,HIGH RISK,LOW BET,WinterFox,WIN
Renegades,WinterFox,Renegades,0.6,0.81,-0.21,HIGH RISK,LOW BET,WinterFox,LOSS
Cloud9,GAcademy,Cloud9,0.7,0.92,-0.22,MEDIUM RISK,AVG BET,GAcademy,LOSS
Cloud9,GAcademy,Cloud9,0.7,0.92,-0.22,MEDIUM RISK,AVG BET,GAcademy,LOSS
Cloud9,GAcademy,Cloud9,0.7,0.92,-0.22,MEDIUM RISK,AVG BET,GAcademy,LOSS
Liquid,Method,Liquid,0.6,0.92,-0.32,MEDIUM RISK,HIGH BET,Method,LOSS
NME,LG,LG,0.4,0.12,0.28,MEDIUM RISK,AVG BET,NME,LOSS
Fnatic,TSM,Fnatic,0.5,0.53,-0.03,HIGH RISK,LOW BET,TSM,LOSS
VP,FSid3,VP,0.6,0.76,-0.16,MEDIUM RISK,AVG BET,FSid3,LOSS
VP,FSid3,VP,0.6,0.76,-0.16,MEDIUM RISK,AVG BET,FSid3,LOSS
Renegades,Cloud9,Cloud9,0.42,0.21,0.21,HIGH RISK,LOW BET,Renegades,LOSS
LG,Liquid,Liquid,0.5,0.58,-0.08,HIGH RISK,LOW BET,Liquid,WIN
WinterFox,GAcademy,GAcademy,0.5,0.28,0.22,HIGH RISK,ICB BET,WinterFox,LOSS
NME,Method,NME,0.55,0.58,-0.03,HIGH RISK,LOW BET,Method,LOSS
NME,Method,NME,0.55,0.58,-0.03,HIGH RISK,LOW BET,Method,LOSS
GAcademy,LG,LG,0.42,0.22,0.2,HIGH RISK,LOW BET,GAcademy,LOSS
NME,Renegades,Renegades,0.45,0.28,0.17,HIGH RISK,LOW BET,NME,LOSS
E-Frag,FSid3,FSid3,0.52,0.52,0,HIGH RISK,LOW BET,FSid3,WIN
Cloud9,Liquid,Cloud9,0.5,0.56,-0.06,HIGH RISK,LOW BET,Liquid,LOSS
HR,SK,HR,0.55,0.59,-0.04,HIGH RISK,LOW BET,SK,LOSS
Renegades,LG,Renegades,0.45,0.23,0.22,HIGH RISK,LOW BET,Renegades,WIN
Liquid,Renegades,Renegades,0.57,0.73,-0.16,HIGH RISK,LOW BET,Renegades,WIN
Cloud9,Renegades,Cloud9,0.7,0.83,-0.13,MEDIUM RISK,AVG BET,Renegades,LOSS
3sUP,LG,LG,0.3,0.07,0.23,MEDIUM RISK,AVG BET,3sUP,LOSS
LG,Cloud9,LG,0.5,0.51,-0.01,HIGH RISK,LOW BET,Cloud9,LOSS
CLG,Conquest,Conquest,0.5,0.43,0.07,HIGH RISK,LOW BET,CLG,LOSS
Cloud9,TSM,TSM,0.4,0.17,0.23,MEDIUM RISK,ICB BET,Cloud9,LOSS
G2,CLG,G2,0.6,0.9,-0.3,MEDIUM RISK,ICB BET,CLG,LOSS
G2,CLG,G2,0.6,0.9,-0.3,MEDIUM RISK,ICB BET,CLG,LOSS
NaVi,LG,NaVi,0.5,0.64,-0.14,HIGH RISK,ICB BET,LG,LOSS
Liquid,VP,Liquid,0.42,0.36,0.06,HIGH RISK,LOW BET,Liquid,WIN
G2,TSM,TSM,0.42,0.34,0.08,HIGH RISK,LOW BET,G2,LOSS
G2,TSM,TSM,0.42,0.34,0.08,HIGH RISK,LOW BET,G2,LOSS
NaVi,Liquid,NaVi,0.55,0.63,-0.08,HIGH RISK,LOW BET,Liquid,LOSS
TSM,NaVi,NaVi,0.58,0.71,-0.13,HIGH RISK,LOW BET,NaVi,WIN
TSM,NaVi,NaVi,0.58,0.71,-0.13,HIGH RISK,LOW BET,NaVi,WIN
Penta,E-Frag,E-Frag,0.45,0.36,0.09,HIGH RISK,LOW BET,Penta,LOSS
Penta,E-Frag,E-Frag,0.45,0.36,0.09,HIGH RISK,LOW BET,Penta,LOSS
Dignitas,Fnatic,Fnatic,0.4,0.06,0.34,HIGH RISK,LOW BET,Dignitas,LOSS
VP,Legacy,VP,0.7,0.94,-0.24,MEDIUM RISK,AVG BET,Legacy,LOSS
VP,Legacy,VP,0.7,0.94,-0.24,MEDIUM RISK,AVG BET,Legacy,LOSS
Liquid,TSM,TSM,0.45,0.2,0.25,HIGH RISK,LOW BET,Liquid,LOSS
EnVyUs,NiP,NiP,0.5,0.64,-0.14,HIGH RISK,LOW BET,NiP,WIN
LG,Fnatic,Fnatic,0.45,0.18,0.27,HIGH RISK,LOW BET,LG,LOSS
SKDC,WinterFox,WinterFox,0.5,0.36,0.14,HIGH RISK,LOW BET,SKDC,LOSS
SKDC,WinterFox,WinterFox,0.5,0.36,0.14,HIGH RISK,LOW BET,SKDC,LOSS
SKDC,WinterFox,WinterFox,0.5,0.36,0.14,HIGH RISK,LOW BET,SKDC,LOSS
SKDC,WinterFox,WinterFox,0.5,0.36,0.14,HIGH RISK,LOW BET,SKDC,LOSS
VP,TSM,TSM,0.45,0.34,0.11,HIGH RISK,LOW BET,VP,LOSS
VP,TSM,TSM,0.45,0.34,0.11,HIGH RISK,LOW BET,VP,LOSS
Legacy,Liquid,Liquid,0.35,0.13,0.22,MEDIUM RISK,AVG BET,Legacy,LOSS
NiP,Fnatic,Fnatic,0.5,0.41,0.09,HIGH RISK,LOW BET,NiP,LOSS
EnVyUs,LG,LG,0.6,0.95,-0.35,MEDIUM RISK,AVG BET,LG,WIN
VP,Liquid,VP,0.55,0.73,-0.18,HIGH RISK,LOW BET,Liquid,LOSS
VP,Liquid,VP,0.55,0.73,-0.18,HIGH RISK,LOW BET,Liquid,LOSS
NiP,LG,LG,0.6,0.68,-0.08,HIGH RISK,LOW BET,LG,WIN
Fnatic,VP,Fnatic,0.55,0.74,-0.19,HIGH RISK,LOW BET,VP,LOSS
TSM,LG,LG,0.55,0.73,-0.18,HIGH RISK,LOW BET,LG,WIN
Fnatic,LG,Fnatic,0.55,0.68,-0.13,HIGH RISK,LOW BET,LG,LOSS
Fnatic,LG,Fnatic,0.55,0.68,-0.13,HIGH RISK,LOW BET,LG,LOSS
Dignitas,G2,G2,0.4,0.21,0.19,HIGH RISK,LOW BET,Dignitas,LOSS
TSM,Dignitas,TSM,0.6,0.87,-0.27,MEDIUM RISK,AVG BET,Dignitas,LOSS
TSM,Dignitas,TSM,0.6,0.87,-0.27,MEDIUM RISK,AVG BET,Dignitas,LOSS
CLG,coL,CLG,0.6,0.61,-0.01,MEDIUM RISK,AVG BET,coL,LOSS
CLG,coL,CLG,0.6,0.61,-0.01,MEDIUM RISK,AVG BET,coL,LOSS
SK,G2,SK,0.4,0.17,0.23,HIGH RISK,LOW BET,SK,WIN
NaVi,Dignitas,Dignitas,0.6,0.71,-0.11,MEDIUM RISK,AVG BET,Dignitas,WIN
TSM,E-Frag,TSM,0.68,0.88,-0.2,MEDIUM RISK,AVG BET,E-Frag,LOSS
LC,Epsilon,LC,0.55,0.59,-0.04,HIGH RISK,LOW BET,Epsilon,LOSS
NaVi,Titan,NaVi,0.58,0.6,-0.02,HIGH RISK,LOW BET,Titan,LOSS
TSM,G2,G2,0.58,0.69,-0.11,MEDIUM RISK,AVG BET,G2,WIN
TSM,DenDD,TSM,0.7,0.95,-0.25,MEDIUM RISK,AVG BET,DenDD,LOSS
TSM,DenDD,TSM,0.7,0.95,-0.25,MEDIUM RISK,AVG BET,DenDD,LOSS
TSM,DenDD,TSM,0.7,0.95,-0.25,MEDIUM RISK,AVG BET,DenDD,LOSS
Vexed,EnVyUs,EnVyUs,0.4,0.09,0.31,MEDIUM RISK,AVG BET,Vexed,LOSS
HSGG,FSid3,FSid3,0.45,0.29,0.16,HIGH RISK,LOW BET,HSGG,LOSS
NaVi,EnVyUs,NaVi,0.5,0.41,0.09,HIGH RISK,LOW BET,NaVi,WIN
NaVi,EnVyUs,NaVi,0.5,0.41,0.09,HIGH RISK,LOW BET,NaVi,WIN
LDLC.White,Penta,Penta,0.35,0.4,-0.05,MEDIUM RISK,AVG BET,LDLC.White,LOSS
Fnatic,G2,Fnatic,0.55,0.75,-0.2,HIGH RISK,LOW BET,G2,LOSS
EnVyUs,Titan,Titan,0.57,0.66,-0.09,HIGH RISK,LOW BET,Titan,WIN
LC,HR,LC,0.4,0.17,0.23,HIGH RISK,LOW BET,LC,WIN
CSGL,mouz,mouz,0.4,0.3,0.1,MEDIUM RISK,AVG BET,CSGL,LOSS
mouz,LDLC.White,null,0.75,0.84,-0.09,MEDIUM RISK,AVG BET,LDLC.White,TIE
NiP,SK,NiP,0.6,0.76,-0.16,MEDIUM RISK,LOW BET,SK,LOSS
Fnatic,TSM,Fnatic,0.55,0.69,-0.14,HIGH RISK,LOW BET,TSM,LOSS
Conquest,NME,Conquest,0.58,0.76,-0.18,HIGH RISK,LOW BET,NME,LOSS
Conquest,NME,Conquest,0.58,0.76,-0.18,HIGH RISK,LOW BET,NME,LOSS
E-Frag,EnVyUs,EnVyUs,0.4,0.23,0.17,MEDIUM RISK,LOW BET,E-Frag,LOSS
SK,TSM,SK,0.35,0.07,0.28,MEDIUM RISK,AVG BET,SK,WIN
SK,TSM,SK,0.35,0.07,0.28,MEDIUM RISK,AVG BET,SK,WIN
